PWR: 1214.286 | HEx1: 5.509 | HEx2: 3.259 | HEx3: 3.097 | C1: 0.569 | C2: 2.321 | C3: 1.683 | C4: 0.007 | C6: 0.487 | C7: 2.483 | T1: -16.636 | T2: -65.098 | P1: 412.598 | P2: 2294.333 
PWR: 1213.553 | HEx1: 5.498 | HEx2: 3.261 | HEx3: 3.084 | C1: 0.569 | C2: 2.320 | C3: 1.682 | C4: 0.002 | C6: 0.486 | C7: 2.483 | T1: -16.711 | T2: -65.029 | P1: 412.670 | P2: 2293.387 
PWR: 1214.031 | HEx1: 5.498 | HEx2: 3.257 | HEx3: 3.089 | C1: 0.569 | C2: 2.321 | C3: 1.683 | C4: 0.002 | C6: 0.487 | C7: 2.483 | T1: -16.734 | T2: -65.040 | P1: 412.675 | P2: 2293.089 
PWR: 1213.487 | HEx1: 5.436 | HEx2: 3.261 | HEx3: 3.098 | C1: 0.569 | C2: 2.318 | C3: 1.678 | C4: 0.006 | C6: 0.488 | C7: 2.483 | T1: -16.690 | T2: -64.970 | P1: 412.466 | P2: 2292.425 
PWR: 1214.232 | HEx1: 5.511 | HEx2: 3.259 | HEx3: 3.089 | C1: 0.569 | C2: 2.322 | C3: 1.683 | C4: 0.001 | C6: 0.487 | C7: 2.483 | T1: -16.746 | T2: -65.050 | P1: 412.707 | P2: 2293.223 
PWR: 1213.651 | HEx1: 5.472 | HEx2: 3.245 | HEx3: 3.097 | C1: 0.569 | C2: 2.319 | C3: 1.681 | C4: 0.007 | C6: 0.487 | C7: 2.483 | T1: -16.638 | T2: -65.090 | P1: 412.626 | P2: 2294.123 
PWR: 1213.765 | HEx1: 5.460 | HEx2: 3.265 | HEx3: 3.099 | C1: 0.569 | C2: 2.319 | C3: 1.679 | C4: 0.004 | C6: 0.488 | C7: 2.483 | T1: -16.705 | T2: -65.006 | P1: 412.525 | P2: 2292.784 
PWR: 1213.895 | HEx1: 5.481 | HEx2: 3.250 | HEx3: 3.089 | C1: 0.569 | C2: 2.319 | C3: 1.682 | C4: 0.003 | C6: 0.488 | C7: 2.483 | T1: -16.727 | T2: -65.028 | P1: 412.622 | P2: 2293.215 
PWR: 1214.255 | HEx1: 5.505 | HEx2: 3.260 | HEx3: 3.093 | C1: 0.569 | C2: 2.321 | C3: 1.683 | C4: 0.001 | C6: 0.487 | C7: 2.483 | T1: -16.727 | T2: -65.049 | P1: 412.670 | P2: 2292.826 
PWR: 1214.817 | HEx1: 5.525 | HEx2: 3.268 | HEx3: 3.094 | C1: 0.569 | C2: 2.322 | C3: 1.684 | C4: 0.003 | C6: 0.488 | C7: 2.483 | T1: -16.711 | T2: -65.037 | P1: 412.691 | P2: 2293.890 
PWR: 1212.518 | HEx1: 5.473 | HEx2: 3.240 | HEx3: 3.073 | C1: 0.569 | C2: 2.316 | C3: 1.681 | C4: 0.003 | C6: 0.485 | C7: 2.483 | T1: -16.738 | T2: -65.022 | P1: 412.601 | P2: 2294.336 
PWR: 1214.449 | HEx1: 5.530 | HEx2: 3.273 | HEx3: 3.074 | C1: 0.569 | C2: 2.323 | C3: 1.683 | C4: 0.004 | C6: 0.486 | C7: 2.483 | T1: -16.702 | T2: -65.098 | P1: 412.628 | P2: 2294.442 
PWR: 1215.684 | HEx1: 5.574 | HEx2: 3.326 | HEx3: 3.049 | C1: 0.570 | C2: 2.329 | C3: 1.683 | C4: 0.001 | C6: 0.485 | C7: 2.483 | T1: -16.721 | T2: -65.064 | P1: 412.683 | P2: 2293.914 
PWR: 1214.607 | HEx1: 5.523 | HEx2: 3.271 | HEx3: 3.097 | C1: 0.570 | C2: 2.323 | C3: 1.683 | C4: 0.001 | C6: 0.487 | C7: 2.483 | T1: -16.758 | T2: -65.054 | P1: 412.697 | P2: 2293.402 
PWR: 1214.392 | HEx1: 5.522 | HEx2: 3.267 | HEx3: 3.081 | C1: 0.570 | C2: 2.322 | C3: 1.683 | C4: 0.006 | C6: 0.486 | C7: 2.483 | T1: -16.676 | T2: -65.099 | P1: 412.645 | P2: 2294.490 
PWR: 1215.443 | HEx1: 5.585 | HEx2: 3.322 | HEx3: 3.021 | C1: 0.570 | C2: 2.329 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.689 | T2: -65.103 | P1: 412.699 | P2: 2294.664 
